PartID,LotID,Parameter,IsDefective_GT,DefectType_GT,0h,24h,96h,168h
LOT_2024_001_P0001,LOT_2024_001,Iddq_uA,False,None,10.5234,10.5435,10.7874,10.6919
LOT_2024_001_P0002,LOT_2024_001,Iddq_uA,False,None,10.3274,10.4473,10.49,10.6292
LOT_2024_001_P0003,LOT_2024_001,Iddq_uA,False,None,9.736,9.7052,9.8044,9.882
LOT_2024_001_P0004,LOT_2024_001,Iddq_uA,False,None,9.4996,9.7107,9.8471,9.9212
LOT_2024_001_P0005,LOT_2024_001,Iddq_uA,False,None,10.3609,10.4126,10.5293,10.626
LOT_2024_001_P0006,LOT_2024_001,Iddq_uA,False,None,10.1139,10.2983,10.3396,10.4958
LOT_2024_001_P0007,LOT_2024_001,Iddq_uA,False,None,10.6233,10.7666,10.8284,11.0063
LOT_2024_001_P0008,LOT_2024_001,Iddq_uA,False,None,9.7312,9.8135,9.8014,9.948
LOT_2024_001_P0009,LOT_2024_001,Iddq_uA,False,None,9.4356,9.5016,9.5293,9.6302
LOT_2024_001_P0010,LOT_2024_001,Iddq_uA,False,None,10.5013,10.6703,10.7754,10.7836
LOT_2024_001_P0011,LOT_2024_001,Iddq_uA,False,None,9.5348,9.6099,9.6772,9.7451
LOT_2024_001_P0012,LOT_2024_001,Iddq_uA,False,None,10.5319,10.5946,10.7353,10.9016
LOT_2024_001_P0013,LOT_2024_001,Iddq_uA,False,None,9.8992,9.9311,10.1188,10.2183
LOT_2024_001_P0014,LOT_2024_001,Iddq_uA,False,None,9.6798,9.7439,9.8947,9.9317
LOT_2024_001_P0015,LOT_2024_001,Iddq_uA,False,None,9.6086,9.6959,9.8312,9.9862
LOT_2024_001_P0016,LOT_2024_001,Iddq_uA,False,None,10.5917,10.7139,10.7566,10.7996
LOT_2024_001_P0017,LOT_2024_001,Iddq_uA,False,None,10.0748,10.1822,10.1494,10.2412
LOT_2024_001_P0018,LOT_2024_001,Iddq_uA,False,None,9.4646,9.6433,9.6316,9.7159
LOT_2024_001_P0019,LOT_2024_001,Iddq_uA,False,None,11.122,11.1319,11.2706,11.3066
LOT_2024_001_P0020,LOT_2024_001,Iddq_uA,False,None,10.0829,10.2918,10.413,10.3628
LOT_2024_001_P0021,LOT_2024_001,Iddq_uA,False,None,10.1294,10.2085,10.3501,10.3435
LOT_2024_001_P0022,LOT_2024_001,Iddq_uA,False,None,9.4831,9.6583,9.7516,9.8169
LOT_2024_001_P0023,LOT_2024_001,Iddq_uA,False,None,9.6188,9.63,9.7348,9.8828
LOT_2024_001_P0024,LOT_2024_001,Iddq_uA,False,None,10.2896,10.3459,10.4217,10.4712
LOT_2024_001_P0025,LOT_2024_001,Iddq_uA,False,None,10.9195,10.9953,11.1164,11.2387
LOT_2024_001_P0026,LOT_2024_001,Iddq_uA,False,None,10.1176,10.2661,10.4176,10.3402
LOT_2024_001_P0027,LOT_2024_001,Iddq_uA,False,None,10.1559,10.2876,10.3959,10.4238
LOT_2024_001_P0028,LOT_2024_001,Iddq_uA,False,None,10.8862,10.9313,10.9964,10.9971
LOT_2024_001_P0029,LOT_2024_001,Iddq_uA,False,None,9.967,10.1122,10.2387,10.2097
LOT_2024_001_P0030,LOT_2024_001,Iddq_uA,False,None,9.7344,9.8347,9.9322,9.9374
LOT_2024_001_P0031,LOT_2024_001,Iddq_uA,False,None,10.0913,10.1707,10.34,10.3912
LOT_2024_001_P0032,LOT_2024_001,Iddq_uA,True,elevated_drift,10.2366,10.692,11.1811,11.5197
LOT_2024_001_P0033,LOT_2024_001,Iddq_uA,True,shape_change,10.5258,11.7476,16.7493,22.7715
LOT_2024_001_P0034,LOT_2024_001,Iddq_uA,False,None,9.7385,9.8118,9.9325,10.0436
LOT_2024_001_P0035,LOT_2024_001,Iddq_uA,False,None,10.1763,10.2234,10.32,10.4789
LOT_2024_001_P0036,LOT_2024_001,Iddq_uA,False,None,10.2388,10.3321,10.4369,10.4727
LOT_2024_001_P0037,LOT_2024_001,Iddq_uA,False,None,10.2201,10.4583,10.6026,10.7093
LOT_2024_001_P0038,LOT_2024_001,Iddq_uA,False,None,8.6309,8.674,8.8293,8.8949
LOT_2024_001_P0039,LOT_2024_001,Iddq_uA,False,None,9.7829,9.7685,9.9961,10.0235
LOT_2024_001_P0040,LOT_2024_001,Iddq_uA,False,None,9.8583,9.9086,10.0706,10.1895
LOT_2024_001_P0041,LOT_2024_001,Iddq_uA,False,None,10.0362,10.1894,10.2826,10.3687
LOT_2024_001_P0042,LOT_2024_001,Iddq_uA,False,None,9.5308,9.7631,9.6991,9.7778
LOT_2024_001_P0043,LOT_2024_001,Iddq_uA,False,None,10.2952,10.4365,10.4964,10.6593
LOT_2024_001_P0044,LOT_2024_001,Iddq_uA,False,None,9.9233,10.1711,10.2056,10.2765
LOT_2024_001_P0045,LOT_2024_001,Iddq_uA,False,None,9.2901,9.3824,9.4631,9.5064
LOT_2024_001_P0046,LOT_2024_001,Iddq_uA,False,None,10.543,10.4979,10.7427,10.6838
LOT_2024_001_P0047,LOT_2024_001,Iddq_uA,False,None,9.8524,10.0904,10.033,10.1398
LOT_2024_001_P0048,LOT_2024_001,Iddq_uA,False,None,10.6336,10.6966,10.7787,10.8311
LOT_2024_001_P0049,LOT_2024_001,Iddq_uA,False,None,9.6186,9.7698,9.8723,9.9956
LOT_2024_001_P0050,LOT_2024_001,Iddq_uA,False,None,10.2793,10.3287,10.3327,10.3575
