claim_id,expected_value,tolerance,metric_key,verification_command
DIGITAL_IC_MAE,8.7681,0.01,DIGITAL_IC.MAE,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_90,0.8628,0.01,DIGITAL_IC.cov_90,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_90_CI_lower,0.8517,0.01,DIGITAL_IC.cov_90_CI_lower,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_90_CI_upper,0.8733,0.01,DIGITAL_IC.cov_90_CI_upper,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_95,0.9435,0.01,DIGITAL_IC.cov_95,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_95_CI_lower,0.9359,0.01,DIGITAL_IC.cov_95_CI_lower,python -m agnipariksha.evaluation.verify_claims
DIGITAL_IC_cov_95_CI_upper,0.9505,0.01,DIGITAL_IC.cov_95_CI_upper,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_MAE,11.7648,0.01,MIXED_SIGNAL_IC.MAE,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_90,0.8233,0.01,MIXED_SIGNAL_IC.cov_90,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_90_CI_lower,0.8111,0.01,MIXED_SIGNAL_IC.cov_90_CI_lower,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_90_CI_upper,0.8350,0.01,MIXED_SIGNAL_IC.cov_90_CI_upper,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_95,0.9503,0.01,MIXED_SIGNAL_IC.cov_95,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_95_CI_lower,0.9431,0.01,MIXED_SIGNAL_IC.cov_95_CI_lower,python -m agnipariksha.evaluation.verify_claims
MIXED_SIGNAL_IC_cov_95_CI_upper,0.9568,0.01,MIXED_SIGNAL_IC.cov_95_CI_upper,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_MAE,0.0396,0.01,MEMS_GYROSCOPE.MAE,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_90,0.8163,0.01,MEMS_GYROSCOPE.cov_90,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_90_CI_lower,0.8039,0.01,MEMS_GYROSCOPE.cov_90_CI_lower,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_90_CI_upper,0.8281,0.01,MEMS_GYROSCOPE.cov_90_CI_upper,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_95,0.9505,0.01,MEMS_GYROSCOPE.cov_95,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_95_CI_lower,0.9433,0.01,MEMS_GYROSCOPE.cov_95_CI_lower,python -m agnipariksha.evaluation.verify_claims
MEMS_GYROSCOPE_cov_95_CI_upper,0.9570,0.01,MEMS_GYROSCOPE.cov_95_CI_upper,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_MAE,15.9403,0.01,PRECISION_VOLTAGE_REF.MAE,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_90,0.8840,0.01,PRECISION_VOLTAGE_REF.cov_90,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_90_CI_lower,0.8737,0.01,PRECISION_VOLTAGE_REF.cov_90_CI_lower,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_90_CI_upper,0.8938,0.01,PRECISION_VOLTAGE_REF.cov_90_CI_upper,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_95,0.9397,0.01,PRECISION_VOLTAGE_REF.cov_95,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_95_CI_lower,0.9319,0.01,PRECISION_VOLTAGE_REF.cov_95_CI_lower,python -m agnipariksha.evaluation.verify_claims
PRECISION_VOLTAGE_REF_cov_95_CI_upper,0.9469,0.01,PRECISION_VOLTAGE_REF.cov_95_CI_upper,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_MAE,1.2558,0.01,IMAGE_SENSOR.MAE,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_90,0.7990,0.01,IMAGE_SENSOR.cov_90,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_90_CI_lower,0.7862,0.01,IMAGE_SENSOR.cov_90_CI_lower,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_90_CI_upper,0.8113,0.01,IMAGE_SENSOR.cov_90_CI_upper,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_95,0.9415,0.01,IMAGE_SENSOR.cov_95,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_95_CI_lower,0.9338,0.01,IMAGE_SENSOR.cov_95_CI_lower,python -m agnipariksha.evaluation.verify_claims
IMAGE_SENSOR_cov_95_CI_upper,0.9486,0.01,IMAGE_SENSOR.cov_95_CI_upper,python -m agnipariksha.evaluation.verify_claims
